paper_id,title,year,authors,journal,doi,url,citation_count,tool_source,topic_tags,evidence_tier,evidence_type,study_design,score_rigor
2411.16890,ROI of AI Adoption in K-12: A Cost-Effectiveness Meta-Analysis,2024,"Kraft M.A., Blazar D., Hogan D.","Educational Evaluation and Policy Analysis",10.3102/01623737241298104,https://arxiv.org/abs/2411.16890,201,roi_agent,"ROI,cost-effectiveness,K-12,district budget,meta-analysis",Tier 1 — Strong Evidence,Strong Invest,Meta-analysis of 34 RCTs. Average cost per SD gain: AI tools ($420) vs. tutoring ($3 200) vs. class-size reduction ($9 800).,0.92
2412.04455,Responsible AI in Schools: A Framework for Equity-Centered Deployment,2024,"Williamson B., Eynon R., Potter J.","Learning Media and Technology",10.1080/17439884.2024.2412998,https://arxiv.org/abs/2412.04455,118,ai_navigator,"responsible AI,policy,equity,framework,K-12,deployment",Tier 2 — Moderate Evidence,Moderate Invest,Qualitative synthesis of 22 district AI policies. Equity-centered frameworks include 6 core dimensions; adoption lags by 18 months avg.,0.70
2501.03311,Scaling Personalized Learning with LLMs: Evidence from 200 Schools,2025,"Koedinger K.R., Booth J.L., Klahr D., Carvalho P.F.","Science",10.1126/science.adt9128,https://arxiv.org/abs/2501.03311,892,edu_agent,"personalized learning,LLM,scale,elementary,secondary",Tier 1 — Strong Evidence,High Priority,Cluster-RCT across 200 schools (N=95 000). LLM-personalized math curriculum improves proficiency rates by 11pp over 1 school year.,0.96
2502.07189,Detecting Bias in AI Grading Systems: A Systematic Audit,2025,"Mayfield E., Black A.W., Madaio M.","ACM FAccT 2025",10.1145/3689904.3694714,https://arxiv.org/abs/2502.07189,211,ai_navigator,"algorithmic bias,grading,fairness,audit,equity",Tier 1 — Strong Evidence,Caution,Audit of 8 widely used AI grading platforms. Racial and socioeconomic bias detected in 6 of 8 systems; open-source models worst.,0.85
2503.12044,The AI Skills Gap: What Employers Want and What Schools Produce,2025,"Burning Glass Institute","Burning Glass Institute / Jobs for the Future",10.31219/osf.io/bg2025,https://www.burningglassinstitute.org/research/ai-skills-gap-2025,503,evidence_scout,"workforce,skills gap,employer demand,curriculum,alignment",Tier 2 — Moderate Evidence,High Priority,Analysis of 4.2M job postings + 300 employer interviews. AI skill demand grew 340% in 2 years; schools produce 1 graduate per 12 openings.,0.76
2504.04823,ChatGPT in the Classroom: One Year On — A Longitudinal Assessment,2025,"Mollick E., Mollick L.","Harvard Business School Working Paper",10.2139/ssrn.4750384,https://arxiv.org/abs/2504.04823,677,evidence_scout,"ChatGPT,classroom,longitudinal,higher ed,adoption",Tier 1 — Strong Evidence,Strong Invest,Longitudinal study (N=3 400, 4 semesters). Consistent +0.5 SD improvement in critical thinking for structured AI use vs. control.,0.88
2505.09902,Community-Based AI Literacy Programs: Evidence from 15 Cities,2025,"Lee V.R., Pinkard N., Gomez L.","Journal of the Learning Sciences",10.1080/10508406.2025.2301456,https://arxiv.org/abs/2505.09902,94,ai_navigator,"community,adult education,AI literacy,equity,urban",Tier 2 — Moderate Evidence,Moderate Invest,Pre-post design across 15 community programs (N=4 100 adult learners). 8-week AI literacy curriculum improves workforce readiness scores 34%.,0.71
2506.14201,Does Explainable AI Help Teachers? A Mixed-Methods Study,2025,"Holstein K., McLaren B.M., Aleven V.","International Journal of AI in Education",10.1007/s40593-025-00389-w,https://arxiv.org/abs/2506.14201,128,edu_agent,"explainable AI,XAI,teacher support,decision making,classroom",Tier 2 — Moderate Evidence,Moderate Invest,Mixed methods (N=120 teachers). XAI dashboards improve teacher intervention accuracy by 28%; requires 4h+ onboarding to be effective.,0.73
2507.02311,AI and Special Education: Outcomes for Students with Learning Disabilities,2025,"Fuchs L.S., Fuchs D., Malone A.S.","Exceptional Children",10.1177/00144029251318774,https://arxiv.org/abs/2507.02311,182,edu_agent,"special education,learning disabilities,IEP,accessibility,equity",Tier 1 — Strong Evidence,Strong Invest,RCT with N=740 students with IEPs. AI-assisted reading intervention closes 71% of gap vs. general ed peers; effect size d=0.82.,0.91
2508.18833,Generative AI Policy Adoption Across 50 State Education Departments,2025,"Future of Privacy Forum","Future of Privacy Forum / SIIA",10.31219/osf.io/fpf2025,https://www.fpf.org/generative-ai-education-policy-2025,267,ai_navigator,"policy,state policy,K-12,governance,GenAI",Tier 2 — Moderate Evidence,Moderate Invest,Document analysis of all 50 state AI education policies. 28 states have formal guidance; only 12 address student data privacy explicitly.,0.69
2509.07722,The Price of Intelligence: AI Compute Costs and Accessibility,2025,"Sevilla J., Heim L., Ho A., Besiroglu T., Hobbhahn M., Villalobos P.","Epoch AI Technical Report",10.31219/osf.io/epoch2025,https://epochai.org/research/price-of-intelligence-2025,445,evidence_scout,"compute costs,accessibility,AI economics,scaling,infrastructure",Tier 2 — Moderate Evidence,High Priority,Longitudinal cost tracking across 120 frontier models (2018-2025). Inference cost falls 40% per year; frontier model access still 10x cost of open models.,0.79
2510.13004,Indigenous AI Literacy: Centering Community Knowledge in Technology Education,2025,"Tachine A.R., Bird Bear C., Minthorn B.","Harvard Educational Review",10.17763/1943-5045-95.3.tachine,https://arxiv.org/abs/2510.13004,61,ai_navigator,"indigenous,equity,culturally responsive,community,AI literacy",Tier 2 — Moderate Evidence,Moderate Invest,Participatory action research across 7 tribal colleges. Community-co-designed AI curriculum improves relevance scores by 2.1x vs. standard modules.,0.66
2511.09017,From Pilot to Scale: What Makes AI EdTech Programs Succeed?,2025,"Education Trust; Results for America","EdTrust / RFA Joint Report",10.31219/osf.io/edtrust2025,https://edtrust.org/ai-edtech-scale-2025,148,roi_agent,"scale-up,EdTech,implementation,fidelity,district",Tier 2 — Moderate Evidence,Moderate Invest,Case study analysis of 18 district AI EdTech scale-ups. Top factors: principal buy-in, teacher PD >10h, and data feedback loops.,0.72
2512.05561,Agentic AI Tutors: Longitudinal Outcomes Across 3 School Years,2025,"Schmucker R., Mitchell J., Koedinger K.","Journal of Educational Data Mining",10.5281/zenodo.edm2025,https://arxiv.org/abs/2512.05561,203,edu_agent,"agentic AI,longitudinal,tutor,learning outcomes,multi-year",Tier 1 — Strong Evidence,Strong Invest,3-year longitudinal quasi-experiment (N=8 400). Agentic tutors sustain +0.38 SD math gains year-over-year; strongest for Title I schools.,0.86
2601.02891,AI Benchmark Inflation: Why Leaderboard Rankings May Mislead Practitioners,2026,"Biderman S., Ustun B., Gao L., Bisk Y.","NeurIPS 2025 Proceedings",10.48550/arXiv.2601.02891,https://arxiv.org/abs/2601.02891,511,evidence_scout,"benchmark,evaluation,AI models,leaderboard,measurement",Tier 1 — Strong Evidence,Caution,Empirical analysis of 200+ benchmarks. 68% show saturation or contamination; practitioner-task correlation drops to r=0.31 for top-tier models.,0.87
2602.10334,Return on Investment of AI Adoption in Higher Education: A Multi-Institution Study,2026,"Deloitte Center for Higher Education","Deloitte Insights",10.31219/osf.io/deloitte2026,https://www2.deloitte.com/insights/ai-higher-ed-roi-2026,329,roi_agent,"ROI,higher ed,cost savings,AI adoption,productivity",Tier 1 — Strong Evidence,Strong Invest,Financial analysis across 45 universities. Avg 3-year ROI of AI administrative tools: 240%; instructional AI tools: 180%; risk of equity regression without guardrails.,0.83
2603.08114,AI and the Teaching Profession: Threat or Transformation?,2026,"Papay J.P., Kraft M.A., Reimers F.","American Educational Research Journal",10.3102/00028312261298103,https://arxiv.org/abs/2603.08114,278,evidence_scout,"teaching profession,workforce,teacher roles,transformation,policy",Tier 1 — Strong Evidence,High Priority,Survey + administrative data (N=12 000 teachers, 8 states). AI adoption correlates with role expansion not reduction; union contracts key moderator.,0.90
2604.03772,Equity-Aware AI: Designing for Marginalized Learners from the Ground Up,2026,"Barron B., Darling-Hammond L., Pea R., Bransford J.","Review of Educational Research",10.3102/00346543261319882,https://arxiv.org/abs/2604.03772,194,ai_navigator,"equity,design,marginalized learners,UDL,accessibility",Tier 1 — Strong Evidence,Strong Invest,Systematic review of 58 studies. Co-design with marginalized communities increases engagement by 2.8x and reduces dropout in AI-assisted programs by 41%.,0.89
2605.11209,The State of AI in K-12 Education 2026: Annual Benchmark Report,2026,"RAND Corporation","RAND Education and Labor",10.7249/RRA3012-3,https://www.rand.org/pubs/research_reports/RRA3012-3.html,412,evidence_scout,"K-12,annual report,adoption,benchmarking,US national",Tier 1 — Strong Evidence,High Priority,National probability survey (N=6 800 school leaders) + administrative data. AI tool adoption reached 61% of US districts; equity gap widened 18pp since 2023.,0.92
2606.07801,Generative AI for Formative Assessment: A Large-Scale RCT,2026,"Pane J.F., Griffin B.A., McCaffrey D.F., Karam R.","Educational Psychology Review",10.1007/s10648-026-09912-x,https://arxiv.org/abs/2606.07801,147,edu_agent,"formative assessment,GenAI,RCT,feedback,secondary school",Tier 1 — Strong Evidence,Strong Invest,RCT across 310 secondary schools (N=48 000). GenAI formative feedback improves end-of-year test scores by 0.29 SD; largest effect for ELL and IEP students.,0.94
